tconst	averageRating	numVotes
tt10448542	3.6	138
tt10448820	4.6	19
tt10449016	2.1	8
tt10449116	6.4	11
tt10449120	5.7	15
tt10449248	6.3	52
tt10449460	7.1	133
tt10449466	4.0	360
tt10449618	7.8	12
tt10451852	7.3	417
tt10452036	6.4	175
tt10452466	6.7	205
tt10452480	7.5	1584
tt10452766	6.7	380
tt10452814	6.5	294
tt10452854	5.9	612
tt10452972	4.8	5
tt10453114	6.0	6
tt10453164	6.3	10
tt10453318	7.1	28
tt10453322	2.2	15
tt10453434	6.2	10
tt10455028	6.6	72
tt10456358	8.3	10
tt10456640	6.8	116
tt10457128	6.9	5177
tt10457168	5.9	10
tt10457214	6.2	5
tt10457390	5.2	5
tt10457580	7.4	50
tt10458950	6.0	16
tt10460622	6.1	31
tt10460794	5.1	12
tt10460876	3.0	8
tt10460990	7.2	18
tt10461084	4.7	16
tt10461352	7.4	16
tt10461512	4.4	19
tt10461630	6.2	177
tt10461980	5.8	5
tt10462650	8.1	15
tt10462774	7.6	52
tt10462808	6.8	51
tt10463126	7.9	10
tt10463328	4.2	8
tt10463488	2.0	6
tt10464930	3.8	168
tt10465524	8.1	34
tt10466336	3.8	19
tt10466346	6.0	7
tt10466444	6.4	5
tt10466908	6.0	5
tt10467054	6.0	154
tt10467460	6.6	64
tt10468098	7.0	74
tt10468374	7.2	19
tt10469118	8.7	1131
tt10471804	5.5	43
tt10472102	5.6	5683
tt10472290	6.8	31
tt10472748	6.4	21
tt10472884	8.3	2636
tt10474386	5.5	14
tt10475900	6.1	125
tt10476298	6.7	23
tt10476682	5.8	87
tt10477300	8.5	6
tt10477558	7.5	2916
tt10477668	3.3	52
tt10477950	4.8	32
tt10478036	6.2	12
tt10478420	5.4	8
tt10478674	6.8	31
tt10479726	4.9	87
tt10481184	5.6	303
tt10481792	5.8	344
tt10481954	6.1	148
tt10482032	5.8	9
tt10482066	5.4	80
tt10482336	6.5	11
tt10482504	6.6	3310
tt10482754	4.9	49
tt10482802	8.5	17
tt10483044	6.9	167
tt10484276	5.8	248
tt10484902	5.4	482
tt10484992	7.3	31
tt10485148	4.8	209
tt10485396	9.1	42
tt10485822	6.9	56
tt10486228	6.2	20
tt10486934	7.4	7
tt10487722	7.3	245
tt10488040	5.2	20
tt10488372	6.0	41
tt10488396	6.7	387
tt10488406	7.4	85
tt10488476	5.5	12
tt10488882	3.5	375
tt10488912	4.0	426
tt10489348	6.3	307
tt10489382	5.4	97
tt10490584	5.8	11
tt10492484	9.2	6
tt10492998	6.6	2048
tt10493488	6.8	17
tt10494006	4.7	12
tt10494260	6.5	46
tt10494406	6.0	104
tt10494922	5.9	161
tt10495074	6.4	10
tt10495746	7.9	981
tt10495912	7.1	598
tt10495934	6.5	149
tt10496762	6.0	28
tt10497352	4.4	109
tt10497568	5.2	321
tt10497656	7.1	61
tt10497782	6.5	15
tt10498008	7.4	10
tt10498022	2.6	146
tt10498792	7.4	8
tt10499260	6.8	51
tt10499432	6.7	19
tt10500136	4.7	379
tt10500352	5.8	31
tt10500440	5.2	8
tt10500478	7.6	69
tt10500534	5.6	141
tt10500650	5.0	13
tt10501952	6.9	30
tt10504110	5.8	62
tt10504752	6.5	355
tt10504776	5.1	46
tt10504904	3.5	478
tt10504966	6.3	433
tt10505048	4.2	20
tt10505054	7.6	13
tt10505278	6.8	90
tt10505424	5.0	12
tt10505558	5.7	40
tt10505598	6.3	75
tt10505616	6.2	5
tt10506490	7.2	184
tt10506876	7.7	49
tt10507176	5.5	56
tt10507902	4.5	84
tt10508366	8.7	15
tt10508400	5.6	9
tt10508558	6.7	63
tt10508622	3.3	6
tt10508722	7.7	6
tt10509018	4.9	55
tt10510254	6.4	11
tt10510280	5.3	564
tt1051229	7.4	11
tt10514222	7.0	43414
tt10514240	6.1	232
tt10514312	4.8	87
tt10514450	6.2	19
tt10514468	1.9	355
tt10515182	5.8	10
tt10515438	8.4	68
tt10515526	7.6	15215
tt10515866	7.3	34
tt10515926	6.1	1280
tt10515954	7.9	42
tt10516086	5.9	1487
tt10516484	7.4	453
tt10518924	6.9	794
tt10518934	7.8	272
tt1051906	7.1	183271
tt10519182	4.0	1142
tt10519662	3.6	274
tt10519740	3.3	23
tt10520386	6.7	325
tt10520754	7.1	35
tt10520822	5.7	30
tt10520878	4.0	15
tt10520882	6.6	23
tt10521028	5.2	20
tt10521092	7.5	1007
tt10521192	6.2	23
tt10521234	7.5	50
tt10521284	4.2	31
tt10521708	6.0	86
tt10523404	6.5	51
tt10524364	5.9	288
tt10526292	8.4	61
tt10528564	6.5	32
tt10528948	4.1	544
tt10529682	6.0	6
tt10530020	5.7	11
tt10530128	7.3	29
tt10530266	6.3	7
tt10530428	6.3	7
tt10530462	6.5	20
tt10533078	5.3	363
tt10533484	5.4	5
tt10534030	6.9	109
tt10534962	3.7	115
tt10534996	7.5	1233
tt10535046	4.9	74
tt10536144	3.3	7
tt10537978	4.2	480
tt10539068	5.4	8
tt10539136	4.9	30
tt10539164	5.3	11
tt10539358	6.5	20
tt10539608	5.6	74736
tt10540024	6.6	596
tt10540150	5.2	130
tt10540334	5.8	5
tt10540398	5.9	22
tt10540594	6.8	12
tt10541028	7.1	492
